id,version,source,tags,confidence,review_status,created_date,updated_date,approval,domain,industry,intent,complexity,input,expected_output_type
9ab3c12a-78fa-4fdb-9a85-3adffd5789e5,1.0,standards_corpus,"[""database"", ""cloud"", ""lld""]",0.72,reviewed,2024-10-08T05:14:14.912553,2026-07-13T05:14:14.912553,conditional,enterprise_architecture,telecommunications,risk_assessment,medium,Troubleshoot intermittent timeouts occurring in certificate management system deployed on Google Cloud IoT Core,security_policy
98c1c92d-f821-4eb4-8e67-a58f5393fdb2,1.1,organizational_knowledge,"[""database"", ""architecture"", ""migration""]",0.86,rejected,2025-05-01T05:14:14.912658,2026-07-13T05:14:14.912658,conditional,electrical,retail,generate_lld,high,Create a low-level design for the edge gateway module of backup and recovery system,test_plan
b11cb739-a8f8-4547-8a08-358e2ed9513b,1.0,engineering_seed,"[""performance"", ""migration"", ""architecture""]",0.91,draft,2025-01-14T05:14:14.912709,2026-07-13T05:14:14.912709,approved,mechanical,chemicals,security_review,low,Analyze the failure modes of data pipeline in edge cluster,cost_analysis
eb25bd59-2073-46c1-a343-d931f3fb5cb6,2.0,domain_expert,"[""security"", ""cloud"", ""deployment""]",0.82,approved,2026-05-19T05:14:14.912750,2026-07-13T05:14:14.912750,conditional,database,oil_and_gas,analyze_failure,trivial,"Create a comprehensive testing strategy for fraud detection system covering unit, integration, E2E, performance, security",solution_blueprint
458b9387-3697-4873-9bf2-c9d006ba8832,1.2,engineering_seed,"[""migration"", ""lld"", ""architecture""]",0.71,approved,2025-02-14T05:14:14.912789,2026-07-13T05:14:14.912789,conditional,backend,hospitality,integration_design,low,Design a real-time event processing system for credit card fraud detection using RabbitMQ,solution_blueprint
4a2ee659-ebd3-442d-ac20-b0b823436bce,1.0,template_expansion,"[""iot"", ""database"", ""deployment""]",0.78,draft,2024-12-24T05:14:14.912827,2026-07-13T05:14:14.912827,approved,automation,maritime,generate_prd,medium,"Design an IoT telemetry pipeline for 1,000 sensors reporting every 30 seconds",deployment_manifest
c6a2f5fa-d6fd-4620-9751-e982a908a4fb,1.1,template_expansion,"[""security"", ""industrial"", ""database""]",0.96,draft,2026-01-11T05:14:14.912866,2026-07-13T05:14:14.912866,conditional,cloud,agriculture,generate_architecture,medium,Create a low-level design for the data pipeline module of laboratory information management system (LIMS),compliance_report
913ad692-8b7d-4352-9aa9-ad932e47601a,1.1,domain_expert,"[""api"", ""migration"", ""monitoring""]",0.83,reviewed,2024-10-13T05:14:14.912902,2026-07-13T05:14:14.912902,pending,software_engineering,mining,analyze_failure,trivial,Design RESTful APIs for clinical trial management system with mTLS authentication,risk_matrix
79aa16d9-71c3-4e82-890b-1663826760ce,2.0,organizational_knowledge,"[""industrial"", ""cloud"", ""hld""]",0.76,approved,2025-02-22T05:14:14.912939,2026-07-13T05:14:14.912939,pending,frontend,aerospace,compliance_audit,low,Design a disaster recovery plan for data lake analytics platform with RPO of 1 hour and RTO of 4 hours,api_specification
f6f1e28b-3a3f-48c7-ba6c-b013763a3dcb,2.0,standards_corpus,"[""security"", ""monitoring"", ""iot""]",0.8,approved,2025-05-14T05:14:14.912977,2026-07-13T05:14:14.912977,approved,industrial_iot,energy,edge_computing_design,low,"Plan the horizontal scaling strategy for backup and recovery system handling 10,000 requests per second",performance_report
cb63516a-3a42-4676-8f6f-cf961fd0daae,2.0,domain_expert,"[""cloud"", ""migration"", ""hld""]",0.92,approved,2025-10-28T05:14:14.913012,2026-07-13T05:14:14.913012,approved,networking,insurance,monitoring_setup,high,Design a low-latency automated testing framework for food safety traceability in a manufacturing environment,solution_blueprint
7b07ba08-827b-47c6-a6ea-4ff5a1dab373,1.2,engineering_seed,"[""performance"", ""cloud"", ""architecture""]",0.95,approved,2026-03-27T05:14:14.913047,2026-07-13T05:14:14.913047,pending,frontend,mining,api_design,medium,Migrate legacy SOAP services to on-premises bare-metal while maintaining backward compatibility,cost_analysis
